Time,Cumulative Area,# of Detected Areas
1648176121.29,21.14036814995469,7
1648176128.86,18.85518933428788,7
1648176133.03,20.994317150216297,8
1648176139.94,21.51725618526783,8
1648176148.7,20.004142158554426,8
1648176154.12,21.032320184641232,8
1648176161.42,20.460151165298896,8
1648176168.56,21.73032128817522,8
1648176175.42,21.505810138078605,8
1648176188.89,21.554804252836743,8
1648176190.8,21.432347395565916,8
1648176196.88,21.943531590304932,8
1648176203.83,21.73509305784689,8
